Josh Allen,QB,395.56
Aaron Rodgers,QB,382.76
Kyler Murray,QB,378.74
Patrick Mahomes,QB,374.4
Deshaun Watson,QB,369.32
Russell Wilson,QB,359.78
Ryan Tannehill,QB,343.86
Tom Brady,QB,337.92
Justin Herbert,QB,332.84
Lamar Jackson,QB,332.78
Alvin Kamara,RB,336.3
Derrick Henry,RB,323.6
Dalvin Cook,RB,315.8
David Montgomery,RB,237.8
Aaron Jones,RB,235.4
Jonathan Taylor,RB,234.8
James Robinson,RB,225.9
Josh Jacobs,RB,214.8
Nick Cubb,RB,199.7
Kareem Hunt,RB,199.5
Ezekiel Elliott,RB,197.7
Antonio Gibson,RB,184.2
Melvin Gordon III,RB,182.4
Kenyan Drake,RB,179.7
Mike Davis,RB,177
Ronald Jones II,RB,172.3
Chris Carson,RB,169.3
D'Andre Swift,RB,166.8
David Johnson,RB,163
Nyheim Hines,RB,161.7
Davante Adams,WR,300.9
Tyreek Hill,WR,285.4
Stefon Diggs,WR,265.1
Calvin Ridley,WR,236.5
DeAndre Hopkins,WR,230.3
Justin Jefferson,WR,230.2
DK Metcalf,WR,229.8
Adam Thielen,WR,217
Tyler Lockett,WR,215.4
Mike Evans,WR,213.6
A.J. Brown,WR,212.5
Allen Robinson III,WR,211.9
Robert Woods,WR,200.1
Keenan Allen,WR,195.1
Brandin Cooks,WR,191.5
Amari Cooper,WR,190.8
Marvin Jones Jr.,WR,189.8
JuJu Smith-Schuster,WR,185.6
Chase Claypool,WR,183.9
CeeDee Lamb,WR,180.7
Travis Kelce,TE,260.26
Darren Waller,TE,225.1
Robert Tonyan,TE,150.6
T.J. Hockenson,TE,141.8
Mark Andrews,TE,141.1
Logan Thomas,TE,140.62
Mike Gesicki,TE,132.8
Rob Gronkowski,TE,126.8
Hayden Hurst,TE,121.1
Jonnu Smith,TE,119.7
